Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,dom_distance_from_root,has_href,is_image,image_src,Selector
other,div,,w3-container grid-container w3-center w3-padding-16,"{'class': 'w3-container grid-container w3-center w3-padding-16', 'style': 'height: 650px;'}","controspazio: n°1-6 gennaio - dicembre 1 ...
                        
                        
                            text_string = ""Controspazio: N°1-6 gennaio - dicembre 1980 &quot;La presenza del Passato&quot; Numero speciale dedicato alla I. Mostra Internazionale di Architettura della Biennale di Venezia"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11495_id"").removeChild(document.getElementById(""11495_br""));
                            }
                            document.getElementById(""11495"").textContent = text_string;
                            document.getElementById(""11495"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                75 Chf",1114,58,40,0,div,1,0,0,['a'],5,False,False,,
other,h5,,w3-container w3-padding-16,{'class': 'w3-container w3-padding-16'},This website uses cookies to ensure you get the best experience on our website.,79,14,0,0,div,0,1,0,[],3,False,False,,
other,a,,,"{'style': 'text-decoration: none;', 'href': '/product?bookId=11495&bookName=Controspazio: N°1-6 gennaio - dicembre 1980 ""La presenza del Passato"" Numero speciale dedicato alla I. Mostra Internazionale di Architettura della Biennale di Venezia'}","controspazio: n°1-6 gennaio - dicembre 1 ...
                        
                        
                            text_string = ""Controspazio: N°1-6 gennaio - dicembre 1980 &quot;La presenza del Passato&quot; Numero speciale dedicato alla I. Mostra Internazionale di Architettura della Biennale di Venezia"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11495_id"").removeChild(document.getElementById(""11495_br""));
                            }
                            document.getElementById(""11495"").textContent = text_string;
                            document.getElementById(""11495"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                75 Chf",1114,58,40,0,div,3,0,0,"['div', 'hr', 'div']",6,True,False,,
other,i,th,fa fa-th-large w3-margin-right ,"{'class': 'fa fa-th-large w3-margin-right ', 'id': 'th'}",,0,0,0,0,a,0,1,0,[],7,False,False,,
other,div,,img-hover-zoom img-hover-zoom--slowmo image-container,"{'class': 'img-hover-zoom img-hover-zoom--slowmo image-container', 'style': ''}",,0,0,0,0,a,1,2,0,['img'],7,False,False,,
other,b,,,{},NEW ARRIVALS,12,2,0,0,a,0,1,1,[],7,False,False,,
other,h3,,,{},Architecture,12,1,0,0,div,1,10,1,['a'],5,False,False,,
other,hr,,,{},,0,0,0,0,a,0,2,1,[],7,False,False,,
other,a,,w3-bar-item w3-button w3-hover-text-black,"{'href': '/category/Architecture/mostExpensive?page=1', 'onclick': 'w3_close()', 'class': 'w3-bar-item w3-button w3-hover-text-black', 'style': ''}",Architecture,12,1,0,0,h3,1,0,0,['i'],6,True,False,,
other,div,11495_id,w3-center,"{'class': 'w3-center', 'id': '11495_id', 'style': 'font-family: throndale, sans-serif'}","controspazio: n°1-6 gennaio - dicembre 1 ...
                        
                        
                            text_string = ""Controspazio: N°1-6 gennaio - dicembre 1980 &quot;La presenza del Passato&quot; Numero speciale dedicato alla I. Mostra Internazionale di Architettura della Biennale di Venezia"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11495_id"").removeChild(document.getElementById(""11495_br""));
                            }
                            document.getElementById(""11495"").textContent = text_string;
                            document.getElementById(""11495"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                75 Chf",1114,58,40,0,a,3,2,2,"['h2', 'script', 'div']",7,False,False,,
other,i,, fa fa-minus w3-margin-right,{'class': ' fa fa-minus w3-margin-right'},,0,0,0,0,a,0,0,0,[],7,False,False,,
other,h3,,,{},Art,3,1,0,0,div,1,10,2,['a'],5,False,False,,
